x,u1,u2,u1_аналит,u2_аналит,Ошибка_u1,Ошибка_u2
0.960000,9.904462,9.904462,9.904459,9.904459,2.376991e-06,2.376991e-06
0.965000,9.903967,9.903967,9.903964,9.903964,2.389252e-06,2.389252e-06
0.970000,9.903471,9.903471,9.903469,9.903469,2.401511e-06,2.401511e-06
0.975000,9.902976,9.902976,9.902974,9.902974,2.413770e-06,2.413770e-06
0.980000,9.902481,9.902481,9.902479,9.902479,2.426027e-06,2.426027e-06
0.985000,9.901986,9.901986,9.901984,9.901984,2.438282e-06,2.438282e-06
0.990000,9.901491,9.901491,9.901488,9.901488,2.450537e-06,2.450537e-06
0.995000,9.900996,9.900996,9.900993,9.900993,2.462790e-06,2.462790e-06
1.000000,9.900501,9.900501,9.900498,9.900498,2.475042e-06,2.475042e-06
1.005000,9.900006,9.900006,9.900003,9.900003,2.487293e-06,2.487293e-06
1.010000,9.899511,9.899511,9.899508,9.899508,2.499543e-06,2.499543e-06
1.015000,9.899016,9.899016,9.899013,9.899013,2.511791e-06,2.511791e-06
1.020000,9.898521,9.898521,9.898518,9.898518,2.524038e-06,2.524038e-06
1.025000,9.898026,9.898026,9.898024,9.898024,2.536284e-06,2.536284e-06
1.030000,9.897531,9.897531,9.897529,9.897529,2.548529e-06,2.548529e-06
1.035000,9.897036,9.897036,9.897034,9.897034,2.560772e-06,2.560772e-06
1.040000,9.896542,9.896542,9.896539,9.896539,2.573015e-06,2.573015e-06
1.045000,9.896047,9.896047,9.896044,9.896044,2.585256e-06,2.585256e-06
1.050000,9.895552,9.895552,9.895549,9.895549,2.597495e-06,2.597495e-06
1.055000,9.895057,9.895057,9.895055,9.895055,2.609734e-06,2.609734e-06
1.060000,9.894562,9.894562,9.894560,9.894560,2.621971e-06,2.621971e-06
1.065000,9.894068,9.894068,9.894065,9.894065,2.634207e-06,2.634207e-06
1.070000,9.893573,9.893573,9.893570,9.893570,2.646442e-06,2.646442e-06
1.075000,9.893078,9.893078,9.893076,9.893076,2.658676e-06,2.658676e-06
1.080000,9.892584,9.892584,9.892581,9.892581,2.670908e-06,2.670908e-06
1.085000,9.892089,9.892089,9.892086,9.892086,2.683139e-06,2.683139e-06
1.090000,9.891595,9.891595,9.891592,9.891592,2.695369e-06,2.695369e-06
